Number;Name
123558979;Správa nemovitostí mesta Brna, s.p. - Svobodová
123558980;KS Marie Krajcová - úcetnictví
123558981;ARCO spol. s. r.o.
123558982;ARCO s.r.o. - Vanek Miloš (mobil)
543538588;Masarykuv onk. ústav, Dr. Vojtešek
543538688;BCI CZECHIA spol. s.r.o.
543538788;BCI CZECHIA spol. s.r.o. - Jancík Miroslav (mobil)
543538888;Ing. Fejfar Petr
543538988;Habala Zdenek
543539088;HELA - Koukal Jiøí
543539188;ENERGZET a.s. - Koukal Vítezslav
543539288;LUKAS v.o.s.
543539388;Šmíd a spol. s.r.o.
543539488;ALBION - jazyková a vzdelávací agentura, s.r.o.
543539588;Qualisys s.r.o
543539688;Quittová Zuzana
